id,x,y
1,-1.65,0.93
2,-1.05,0.93
3,-0.45,0.93
4,0.15,0.93
5,0.75,0.93
6,1.35,0.93
7,1.95,0.93
8,-1.95,1.85
9,-1.35,1.85
10,-0.75,1.85
11,-0.15,1.85
12,0.45,1.85
13,1.05,1.85
14,1.65,1.85
15,-1.65,2.76
16,-1.05,2.76
17,-0.45,2.76
18,0.15,2.76
19,0.75,2.76
20,1.35,2.76
21,1.95,2.76
22,1.65,-1.82
23,1.05,-1.82
24,0.45,-1.82
25,-0.15,-1.82
26,-0.75,-1.82
27,-1.35,-1.82
28,-1.95,-1.82
29,1.95,-2.74
30,1.35,-2.74
31,0.75,-2.74
32,0.15,-2.74
33,-0.45,-2.74
34,-1.05,-2.74
35,-1.65,-2.74
36,-1.65,-0.91
37,-1.05,-0.91
38,-0.45,-0.91
39,0.15,-0.91
40,0.75,-0.91
41,1.35,-0.91
42,1.95,-0.91
43,-1.95,0.01
44,-1.35,0.01
45,-0.75,0.01
46,-0.15,0.01
